iter	Logloss
0	0.5980035503
1	0.5238792407
2	0.4664007536
3	0.4179725726
4	0.3740029703
5	0.3427266516
6	0.3087195478
7	0.2888299296
8	0.2703371221
9	0.2473463093
10	0.236959411
11	0.2249685525
12	0.2084436078
13	0.1946578623
14	0.1824287073
15	0.1773169075
16	0.170069884
17	0.1575665971
18	0.1529767229
19	0.1466867293
20	0.1426313182
21	0.1339138258
22	0.1287419892
23	0.1241919185
24	0.1179508461
25	0.1138411221
26	0.1101707259
27	0.1039775676
28	0.1012897021
29	0.1009557227
30	0.09807059485
31	0.0956079329
32	0.09462262229
33	0.09340996141
34	0.08663190464
35	0.08395130992
36	0.08137893675
37	0.08107827183
38	0.07713278081
39	0.07666952442
40	0.07554296096
41	0.07436614708
42	0.07104314238
43	0.06930859069
44	0.06893926076
45	0.0669565385
46	0.06623247876
47	0.06318074753
48	0.06202794766
49	0.06046427717
50	0.05969515117
51	0.05936587147
52	0.05793752619
53	0.05633699039
54	0.05293761891
55	0.05108684462
56	0.04950719452
57	0.04626463686
58	0.04514130379
59	0.04472915217
60	0.04398137125
61	0.04323252608
62	0.04127599281
63	0.0409162289
64	0.04016753568
65	0.03931251449
66	0.038288705
67	0.03757503202
68	0.0362885866
69	0.0360224303
70	0.03554634414
71	0.03471872547
72	0.03396557305
73	0.03364985242
74	0.03310206294
75	0.03226498915
76	0.03184879825
77	0.03161968591
78	0.03106414765
79	0.03062437085
80	0.03022105482
81	0.02895638123
82	0.0286053598
83	0.0281413822
84	0.0279024773
85	0.02769742323
86	0.0274361112
87	0.0271671611
88	0.02633317309
89	0.02537636618
90	0.02484468598
91	0.02451579676
92	0.02428388254
93	0.02393095892
94	0.02371810849
95	0.02353339064
96	0.02324464521
97	0.0226793246
98	0.02243339114
99	0.02171843292
100	0.02141379055
101	0.0207727322
102	0.02061439958
103	0.0199638787
104	0.01972574234
105	0.0196182145
106	0.01951147277
107	0.01892866286
108	0.01866504174
109	0.01842264219
110	0.01830741488
111	0.01779944327
112	0.01766991233
113	0.01756930069
114	0.01718101581
115	0.017112607
116	0.0167844462
117	0.01661494434
118	0.01646053279
119	0.01604472063
120	0.01576457822
121	0.01569191174
122	0.01550820984
123	0.01541059693
124	0.01533269783
125	0.01510618727
126	0.01470758078
127	0.01444796018
128	0.0142627723
129	0.01404715549
130	0.01398639942
131	0.0139282125
132	0.01362170142
133	0.0135512398
134	0.01335598764
135	0.0130732174
136	0.01293977393
137	0.01274360394
138	0.01259964794
139	0.0123407728
140	0.01205771764
141	0.01200655971
142	0.01189398699
143	0.01184803525
144	0.01167033948
145	0.01162588798
146	0.01152052319
147	0.01131009659
148	0.01125147903
149	0.01121852136
150	0.01115697825
151	0.01103956566
152	0.0110014422
153	0.01090789401
154	0.01082073489
155	0.01078016237
156	0.01058993212
157	0.01055632002
158	0.01042777506
159	0.01025166032
160	0.01013388247
161	0.01004343174
162	0.01001129402
163	0.009914077951
164	0.009740857615
165	0.009709063506
166	0.009682759005
167	0.009653255452
168	0.009492796573
169	0.009466775846
170	0.009426003549
171	0.009376646966
172	0.009250429878
173	0.009223776722
174	0.009084074434
175	0.009060935161
176	0.009042217578
177	0.008991401666
178	0.008927182894
179	0.00884446955
180	0.008797890897
181	0.008668443373
182	0.008650102838
183	0.008650102838
184	0.008528501157
185	0.008514175435
186	0.008453116215
187	0.008432778926
188	0.008413191267
189	0.00829835922
190	0.008285303094
191	0.008285225879
192	0.008200255153
193	0.008132881627
194	0.008132412067
195	0.008129630183
196	0.008074674315
197	0.008060277019
198	0.008007247546
199	0.008007199742
